skills,major,education_level,pay,location
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
Big Data,Computer Science,High school or GED,,Utah
Machine Learning,Computer Science,Bachelor's degree,,Georgia
Big Data,Computer Science,Bachelor's degree|Master's degree,,Oregon
Data Manipulation,Computer Science,Bachelor's degree,,Massachusetts
"Big Data Analytics, Big Data",Computer Science,Bachelor's degree|Master's degree,,Florida
Data Science,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Florida
"Big Data, Machine Learning Algorithms, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,New York
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,Massachusetts
Data Manipulation,Computer Science,Bachelor's degree,,Indiana
Apache Hadoop,Computer Science,Bachelor's degree,,California
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,Illinois
"Apache Hadoop, Big Data, Apache Spark",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,New York
Data Manipulation Language,Computer Science,No Education Listed,,Arizona
"Data Science, Machine Learning",Computer Science,No Education Listed,,New York
"Apache Hadoop, MapR (Big Data)",Computer Science,Bachelor's degree,,Georgia
"Big Data, Big Data Analytics",Computer Science,Bachelor's degree|Master's degree,,Maryland
Apache Spark,Computer Science,No Education Listed,145000.0,California
Apache Spark,Computer Science,No Education Listed,,Missouri
Artificial Intelligence,Computer Science,Bachelor's degree,,California
"Metadata Repository, Metadata Management, Big Data, Metadata",Computer Science,Bachelor's degree,,New Jersey
"Apache Hadoop, Apache Spark",Computer Science,Bachelor's degree,,Colorado
"Data Engineering, Machine Learning",Computer Science,Bachelor's degree,,Virginia
"Data Science, Splunk, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
Machine Learning,Computer Science,Master's degree,100000.0,California
"Apache Hadoop, Data Science, Big Data",Computer Science,No Education Listed,,Florida
"Big Data Analytics, Big Data",Computer Science,Bachelor's degree,,Colorado
Big Data,Computer Science,Bachelor's degree,,California
"Apache Hadoop, Data Science, Big Data, Splunk, Apache Spark, Machine Learning Algorithms",Computer Science,Ph.D. or professional degree,,Massachusetts
Metadata,Computer Science,No Education Listed,,Texas
"Apache Hadoop, Big Data, Apache Spark, Machine Learning",Computer Science,No Education Listed,,California
Big Data,Computer Science,Bachelor's degree,,Florida
Machine Learning,Computer Science,Ph.D. or professional degree,,New Jersey
"Apache Hadoop, Big Data",Computer Science,No Education Listed,,Texas
Machine Learning,Computer Science,Bachelor's degree,,Michigan
"Apache Hadoop, Data Science, Big Data, Machine Learning",Computer Science,Bachelor's degree,,New Jersey
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,New York
"Big Data, Data Science, Machine Learning Algorithms",Computer Science,No Education Listed,,Texas
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,California
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Illinois
Data Manipulation,Computer Science,Bachelor's degree,,Texas
Artificial Intelligence,Computer Science,No Education Listed,,South Carolina
"Big Data, Data Science, Machine Learning Algorithms, Machine Learning",Computer Science,Ph.D. or professional degree,,Washington
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,Maryland
Apache Hadoop,Computer Science,Bachelor's degree|Master's degree,,California
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Georgia
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,New York
Machine Learning Algorithms,Computer Science,Bachelor's degree,175500.0,Florida
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Washington
Machine Learning,Computer Science,Bachelor's degree,,Washington
Big Data,Computer Science,Bachelor's degree,,Washington
"Data Engineering, Machine Learning",Computer Science,Bachelor's degree,,Washington
Artificial Intelligence,Computer Science,No Education Listed,,Oklahoma
Data Manipulation,Computer Science,No Education Listed,,Virginia
Splunk,Computer Science,No Education Listed,,New Jersey
Data Science,Computer Science,Bachelor's degree,,New Jersey
Artificial Intelligence,Computer Science,Bachelor's degree,,California
Machine Learning Algorithms,Computer Science,No Education Listed,,California
"Data Science, Big Data, Apache Spark, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Oregon
"Apache Hadoop, Big Data, Apache Spark, Machine Learning",Computer Science,No Education Listed,,Delaware
Data Manipulation,Computer Science,Bachelor's degree|Ph.D. or professional degree,,North Carolina
"Data Science, Machine Learning, Big Data Analytics, Big Data",Computer Science,Bachelor's degree|Ph.D. or professional degree,125000.0,New York
Metadata,Computer Science,Bachelor's degree|Master's degree,,Florida
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,California
Data Manipulation,Computer Science,Master's degree,,California
Machine Learning,Computer Science,No Education Listed,,California
